দিন	কোর্স	বিষয়	লেকচার	বিএসসি ইন নার্সিং	লেকচার	ডিপ্লোমা ইন নার্সিং	মোটিভেশনাল লাইন																			
Day-98	বেসিক ট এডভান্স	সাধারন জ্ঞান	সাধারন জ্ঞান-২০	 সাম্প্রতিক বিষয়াবলি	সাধারন জ্ঞান-২০	 সাম্প্রতিক বিষয়াবলি																				
Day-99	বেসিক ট এডভান্স	বিজ্ঞান	রসায়ন-১০	তড়িৎ রসায়ন 	রসায়ন-১০	এসিড ক্ষারক সমতা																				
Day-100	বেসিক ট এডভান্স	বিজ্ঞান	জীববিজ্ঞান-১০	"কোষ রসায়ন, প্রাণীর আচরণ, 
মানব দেহের প্রতিরক্ষা"	জীববিজ্ঞান-১০	জীবের পরিবেশ																				
Day-101	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১
সাধারন গণিত-১, পদার্থবিজ্ঞান-১"	সকল	"বাংলা-১
সাধারন গণিত-১, সাধারন বিজ্ঞান-১"																				
Day-102	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-২, ইংরেজি-১, সাধারন জ্ঞান-১
রসায়ন-১"	সকল	"বাংলা-২, ইংরেজি-১, সাধারন জ্ঞান-১
সাধারন বিজ্ঞান-২"																				
Day-103	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-২, সাধারন জ্ঞান-২
জীববিজ্ঞান-১"	সকল	"ইংরেজি-২, সাধারন জ্ঞান-২
সাধারন বিজ্ঞান-৩"																				
Day-104	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-৩
সাধারন গণিত-২, পদার্থবিজ্ঞান-২"	সকল	"বাংলা-৩
সাধারন গণিত-২, সাধারন বিজ্ঞান-৪"																				
Day-105	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-৪, ইংরেজি-৩, সাধারন জ্ঞান-৩
রসায়ন-২"	সকল	"বাংলা-৪, ইংরেজি-৩, সাধারন জ্ঞান-৩
সাধারন বিজ্ঞান-৫"																				
Day-106	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-৪, সাধারন জ্ঞান-৪
জীববিজ্ঞান-২"	সকল	"ইংরেজি-৪, সাধারন জ্ঞান-৪
সাধারন বিজ্ঞান-৬"																				
Day-107	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-৫
সাধারন গণিত-৩, পদার্থবিজ্ঞান-৩"	সকল	"বাংলা-৫
সাধারন গণিত-৩, সাধারন বিজ্ঞান-৭"																				
Day-108	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-৬, ইংরেজি-৫, সাধারন জ্ঞান-৫
রসায়ন-৩"	সকল	"বাংলা-৬, ইংরেজি-৫, সাধারন জ্ঞান-৫
সাধারন বিজ্ঞান-৮"																				
Day-109	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-৬, সাধারন জ্ঞান-৬
জীববিজ্ঞান-৩"	সকল	"ইংরেজি-৬, সাধারন জ্ঞান-৬
সাধারন বিজ্ঞান-৯"																				
Day-110	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-৭
সাধারন গণিত-৪, পদার্থবিজ্ঞান-৪"	সকল	"বাংলা-৭
সাধারন গণিত-৪, সাধারন বিজ্ঞান-১০"																				
Day-111	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-৮, ইংরেজি-৭, সাধারন জ্ঞান-৭
রসায়ন-৪"	সকল	"বাংলা-৮, ইংরেজি-৭, সাধারন জ্ঞান-৭
সাধারন বিজ্ঞান-১১"																				
Day-112	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-৮, সাধারন জ্ঞান-৮
জীববিজ্ঞান-৪"	সকল	"ইংরেজি-৮, সাধারন জ্ঞান-৮
সাধারন বিজ্ঞান-১২"																				
Day-113	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-৯
সাধারন গণিত-৫, পদার্থবিজ্ঞান-৫"	সকল	"বাংলা-৯
সাধারন গণিত-৫, সাধারন বিজ্ঞান-১৩"																				
Day-114	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-১০, ইংরেজি-৯, সাধারন জ্ঞান-৯
রসায়ন-৫"	সকল	"বাংলা-১০, ইংরেজি-৯, সাধারন জ্ঞান-৯
সাধারন বিজ্ঞান-১৪"																				
Day-115	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-১০, সাধারন জ্ঞান-১০
জীববিজ্ঞান-৫"	সকল	"ইংরেজি-১০, সাধারন জ্ঞান-১০
সাধারন বিজ্ঞান-১৫"																				
Day-116	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১১
সাধারন গণিত-৬, পদার্থবিজ্ঞান-৬"	সকল	"বাংলা-১১
সাধারন গণিত-৬, সাধারন বিজ্ঞান-১৬"																				
Day-117	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-১২, ইংরেজি-১১, সাধারন জ্ঞান-১১
রসায়ন-৬"	সকল	"বাংলা-১২, ইংরেজি-১১, সাধারন জ্ঞান-১১
সাধারন বিজ্ঞান-১৭"																				
Day-118	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-১২, সাধারন জ্ঞান-১২
জীববিজ্ঞান-৬"	সকল	"ইংরেজি-১২, সাধারন জ্ঞান-১২
সাধারন বিজ্ঞান-১৮"																				
Day-119	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১৩
সাধারন গণিত-৭, পদার্থবিজ্ঞান-৭"	সকল	"বাংলা-১৩
সাধারন গণিত-৭, সাধারন বিজ্ঞান-১৯"																				
Day-120	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-১৪, ইংরেজি-১৩, সাধারন জ্ঞান-১৩
রসায়ন-৭"	সকল	"বাংলা-১৪, ইংরেজি-১৩, সাধারন জ্ঞান-১৩
সাধারন বিজ্ঞান-২০"																				
Day-121	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-১৪, সাধারন জ্ঞান-১৪
জীববিজ্ঞান-৭"	সকল	"ইংরেজি-১৪, সাধারন জ্ঞান-১৪
সাধারন বিজ্ঞান-২১"																				
Day-122	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১৫
সাধারন গণিত-৮, পদার্থবিজ্ঞান-৮"	সকল	"বাংলা-১৫
সাধারন গণিত-৮, সাধারন বিজ্ঞান-২২"																				
Day-123	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-১৬, ইংরেজি-১৫, সাধারন জ্ঞান-১৫
রসায়ন-৮"	সকল	"বাংলা-১৬, ইংরেজি-১৫, সাধারন জ্ঞান-১৫
সাধারন বিজ্ঞান-২৩"																				
Day-124	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-১৬, সাধারন জ্ঞান-১৬
জীববিজ্ঞান-৮"	সকল	"ইংরেজি-১৬, সাধারন জ্ঞান-১৬
সাধারন বিজ্ঞান-২৪"																				
Day-125	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১৭
সাধারন গণিত-৯, পদার্থবিজ্ঞান-৯"	সকল	"বাংলা-১৭
সাধারন গণিত-৯, সাধারন বিজ্ঞান-২৫"																				
Day-126	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-১৮, ইংরেজি-১৭, সাধারন জ্ঞান-১৭
রসায়ন-৯"	সকল	"বাংলা-১৮, ইংরেজি-১৭, সাধারন জ্ঞান-১৭
সাধারন বিজ্ঞান-২৬"																				
Day-127	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-১৮, সাধারন জ্ঞান-১৮
জীববিজ্ঞান-৯"	সকল	"ইংরেজি-১৮, সাধারন জ্ঞান-১৮
সাধারন বিজ্ঞান-২৭"																				
Day-128	ফাইনাল রিভিশন	বাংলা, সাধারণ গণিত, বিজ্ঞান	সকল	"বাংলা-১৯
সাধারন গণিত-১০, পদার্থবিজ্ঞান-১০"	সকল	"বাংলা-১৯
সাধারন গণিত-১০, সাধারন বিজ্ঞান-২৮"																				
Day-129	ফাইনাল রিভিশন	বাংলা, ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"বাংলা-২০, ইংরেজি-১৯, সাধারন জ্ঞান-১৯
রসায়ন-১০"	সকল	"বাংলা-২০, ইংরেজি-১৯, সাধারন জ্ঞান-১৯
সাধারন বিজ্ঞান-২৯"																				
Day-130	ফাইনাল রিভিশন	ইংরেজি, সাধারন জ্ঞান, বিজ্ঞান	সকল	"ইংরেজি-২০, সাধারন জ্ঞান-২০
জীববিজ্ঞান-১০"	সকল	"ইংরেজি-২০, সাধারন জ্ঞান-২০
সাধারন বিজ্ঞান-৩০"																				
Day-131	কুইক রিভিশন	বাংলা	সকল	বাংলা - সাহিত্য	সকল	বাংলা - সাহিত্য																				
Day-132	কুইক রিভিশন	বাংলা	সকল	বাংলা - ব্যাকরণ	সকল	বাংলা - ব্যাকরণ																				
Day-133	কুইক রিভিশন	ইংরেজি	সকল	ইংরেজি - গ্রামার	সকল	ইংরেজি - গ্রামার																				
Day-134	কুইক রিভিশন	ইংরেজি	সকল	ইংরেজি - ভোকাবুলারি	সকল	ইংরেজি - ভোকাবুলারি																				
Day-135	কুইক রিভিশন	সাধারন জ্ঞান	সকল	সাধারন জ্ঞান - বাংলাদেশ	সকল	সাধারন জ্ঞান - বাংলাদেশ																				
Day-136	কুইক রিভিশন	সাধারন জ্ঞান	সকল	সাধারন জ্ঞান - আন্তর্জাতিক	সকল	সাধারন জ্ঞান - আন্তর্জাতিক																				
Day-137	কুইক রিভিশন	সাধারণ গণিত	সকল	সাধারণ গণিত	সকল	সাধারণ গণিত																				
Day-138	কুইক রিভিশন	বিজ্ঞান	সকল	পদার্থবিজ্ঞান	সকল	সাধারণ বিজ্ঞান (পদার্থ)																				
Day-139	কুইক রিভিশন	বিজ্ঞান	সকল	রসায়ন	সকল	সাধারণ বিজ্ঞান (রসায়ন)																				
Day-140	কুইক রিভিশন	বিজ্ঞান	সকল	জীববিজ্ঞান	সকল	সাধারণ বিজ্ঞান (জীব)																				
Day-141	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০১	সকল	ফাইনাল মডেল টেস্ট-০১																				
Day-142	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০২	সকল	ফাইনাল মডেল টেস্ট-০২																				
Day-143	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৩	সকল	ফাইনাল মডেল টেস্ট-০৩																				
Day-144	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৪	সকল	ফাইনাল মডেল টেস্ট-০৪																				
Day-145	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৫	সকল	ফাইনাল মডেল টেস্ট-০৫																				
Day-146	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৬	সকল	ফাইনাল মডেল টেস্ট-০৬																				
Day-147	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৭	সকল	ফাইনাল মডেল টেস্ট-০৭																				
Day-148	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৮	সকল	ফাইনাল মডেল টেস্ট-০৮																				
Day-149	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-০৯	সকল	ফাইনাল মডেল টেস্ট-০৯																				
Day-150	মডেল টেস্ট	সকল	সকল	ফাইনাল মডেল টেস্ট-১০	সকল	ফাইনাল মডেল টেস্ট-১০																				
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										

